AGENT_ID,total_ptps,fulfilled,fulfillment_rate,avg_dpd,repromise_rate,visit_rate,remarks_count,tier,last_3_activity,tier_insight
10059,29,29,1.0,9.55,0.8621,0.0,29,Top Quartile,"{""last_3_remarks"": ""03 CUS ASK TO WILL MAOINTAINCE  MINIMUM BALACE IN OUR  ACCOUNT|06 CUS ASK TO 10TH ECS WILL CLESR|09  CUS CUT TH ECALL"", ""last_3_Total_Outstanding"": ""386167|194493|238868"", ""last_3_ptp_date"": ""2026-04-03:2026-02-06:2026-01-09"", ""last_3_promised_date"": ""2026-04-05:2026-03-05:2026-02-05""}",Top Quartile: fulfillment 100.0% (37.7pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 10d vs 64d cohort) | call-only agent — no field visits | low volume (29 PTPs) — tier may be noisy | above Q75 threshold 81.8% — model for best-practice replication
10540,38,37,0.9737,20.42,0.9474,0.0,38,Top Quartile,"{""last_3_remarks"": ""CM SAID HE WILL MAKE THE PAYMENT TOM|cm said that he will make the payment today|TODAY PAYMENT "", ""last_3_Total_Outstanding"": ""119055|47099|21159"", ""last_3_ptp_date"": ""2025-09-16:2025-09-16:2025-09-16"", ""last_3_promised_date"": ""2025-10-01:2025-10-05:2025-10-05""}",Top Quartile: fulfillment 97.4% (35.1pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 20d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
9053,35,34,0.9714,30.43,0.9143,0.0,35,Top Quartile,"{""last_3_remarks"": ""he will pay on 14 september|he will be pay on 10 september |HE WILL BE PAY ON 15 SEPTEMBER "", ""last_3_Total_Outstanding"": ""363515|162245|157494"", ""last_3_ptp_date"": ""2025-09-09:2025-09-07:2025-09-07"", ""last_3_promised_date"": ""2025-10-05:2025-10-05:2025-10-01""}",Top Quartile: fulfillment 97.1% (34.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 30d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
10632,26,25,0.9615,18.08,0.5,0.0,26,Top Quartile,"{""last_3_remarks"": ""cm said send the link he will pay on 17-11-2025 till 5pm |cm said he will pay on 10-11-2025 till 7pm|cm said send the link he will pay on 10-11-2025 till "", ""last_3_Total_Outstanding"": ""3973|21796|54535"", ""last_3_ptp_date"": ""2025-11-17:2025-11-10:2025-11-10"", ""last_3_promised_date"": ""2025-12-05:2025-12-05:2025-12-05""}",Top Quartile: fulfillment 96.2% (33.8pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 18d vs 64d cohort) | low re-promise rate 50% — tends to escalate rather than re-accept | call-only agent — no field visits | low volume (26 PTPs) — tier may be noisy | above Q75 threshold 81.8% — model for best-practice replication
11276,42,40,0.9524,6.71,0.9286,0.0,42,Top Quartile,"{""last_3_remarks"": ""Cm Emi pay on 17th march  |Cm Emi pay on 17th march  |Cm Emi pay on 10 th march  "", ""last_3_Total_Outstanding"": ""183595|152732|95118"", ""last_3_ptp_date"": ""2026-03-17:2026-03-16:2026-03-09"", ""last_3_promised_date"": ""2026-04-01:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 95.2% (32.9pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 7d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
8867,296,281,0.9493,13.1,0.9392,0.0,296,Top Quartile,"{""last_3_remarks"": ""cm said he will maintain sufficient balance on 3rd of july 2025 evening sorce of income business \n|cm said will maintain a sufficient balances for 3 JULY 2025 evening {sources of payment- business}\n|cm said he will maintain sufficient balance on 3rd of july 2025 sorce of income doest not confirm\n"", ""last_3_Total_Outstanding"": ""218863|3355|150573"", ""last_3_ptp_date"": ""2025-06-30:2025-06-30:2025-06-27"", ""last_3_promised_date"": ""2025-07-05:2025-07-05:2025-07-05""}",Top Quartile: fulfillment 94.9% (32.6pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 13d vs 64d cohort) | call-only agent — no field visits | high volume (296 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
12802,57,54,0.9474,4.07,0.4737,0.0,57,Top Quartile,"{""last_3_remarks"": ""cx call disconnected |voice issue |cx told he will make the payment today "", ""last_3_Total_Outstanding"": ""101288|248722|287813"", ""last_3_ptp_date"": ""2026-03-10:2026-03-10:2026-03-10"", ""last_3_promised_date"": ""2026-04-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 94.7% (32.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 4d vs 64d cohort) | low re-promise rate 47% — tends to escalate rather than re-accept | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
11860,163,154,0.9448,0.85,0.8834,0.0,163,Top Quartile,"{""last_3_remarks"": ""CM DID NOT RECIVE THE SALARY ONCE HE RRCIVE HE WILL PAY WITHOUT MISS HE WILL PAY BEFOR 7TH|ptp on 4th                            |ptp "", ""last_3_Total_Outstanding"": ""1767266|177790|106649"", ""last_3_ptp_date"": ""2026-04-04:2026-04-03:2026-04-03"", ""last_3_promised_date"": ""2026-05-02:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 94.5% (32.2pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 1d vs 64d cohort) | call-only agent — no field visits | high volume (163 PTPs) — tier is statistically reliable | above Q75 threshold 81.8% — model for best-practice replication
8542,53,50,0.9434,36.75,1.0,0.0,53,Top Quartile,"{""last_3_remarks"": ""cm said i will maintain funds on 3/4/26 but i want to foreclose this lone also \n|cm said will maintain a sufficient balances on 4TH APRIL  2026 evening  (sources of payment BUSINESS )\n|cm said will maintain a sufficient balances on 4TH APRIL  2026evening  (sources of payment does not confirm)"", ""last_3_Total_Outstanding"": ""136453|111701|139612"", ""last_3_ptp_date"": ""2026-03-27:2026-03-27:2026-03-27"", ""last_3_promised_date"": ""2026-04-05:2026-04-05:2026-04-05""}",Top Quartile: fulfillment 94.3% (32.0pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 37d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
12660,32,30,0.9375,3.78,1.0,0.0,32,Top Quartile,"{""last_3_remarks"": ""CX DIDNOT PAY BY MANUAL HE WILL PAY BY ECS ON 10TH|RDF:SALARY ISSUE\nCX WILL PAY BY TODAY ITSELF |MAINTAIN BALANCE"", ""last_3_Total_Outstanding"": ""79176|883227|164871"", ""last_3_ptp_date"": ""2026-04-06:2026-04-04:2026-04-03"", ""last_3_promised_date"": ""2026-05-05:2026-05-02:2026-04-05""}",Top Quartile: fulfillment 93.8% (31.4pt above cohort avg 62.3%) | works cleaner accounts (avg DPD 4d vs 64d cohort) | call-only agent — no field visits | above Q75 threshold 81.8% — model for best-practice replication
